Lineage,Time,DT.anc,Ploidy.anc,Enviro
6,evol,3.135384571,N/A,YPAD
7,evol,2.751964798,3.8171,YPAD
8,evol,3.089136186,2.4438,YPAD
9,evol,2.781549666,2.7265,YPAD
10,evol,2.578891676,2.2666,YPAD
11,evol,3.010609646,2.0766,YPAD
12,evol,3.373855529,3.5857,YPAD
13,evol,3.037929504,3.3647,YPAD
14,evol,3.232148556,2.0017,YPAD
15,evol,3.006180864,3.3716,YPAD
16,evol,2.414592741,3.0527,YPAD
17,evol,2.968189352,3.3458,YPAD
18,evol,2.830471523,1.9655,YPAD
19,evol,2.701586596,3.1386,YPAD
20,evol,2.361820212,2.2854,YPAD
21,evol,3.167909405,3.5618,YPAD
22,evol,2.775634601,2.2312,YPAD
23,evol,3.326369109,N/A,YPAD
24,evol,2.690316875,4.0123,YPAD
25,evol,3.006370964,3.6085,YPAD
26,evol,2.407354304,2.3394,YPAD
27,evol,2.947240967,3.4304,YPAD
28,evol,3.032675259,2.439,YPAD
29,evol,3.166350909,3.9633,YPAD
30,evol,3.267107361,3.6555,YPAD
31,evol,2.800563911,4.1928,YPAD
32,evol,3.064074329,2.4942,YPAD
33,evol,3.23528768,3.0714,YPAD
34,evol,3.33975308,2.4156,YPAD
35,evol,3.354735871,4.3408,YPAD
36,evol,3.023010891,3.528,YPAD
37,evol,3.078281536,2.3663,YPAD
38,evol,2.974423875,3.712,YPAD
39,evol,2.899463091,3.3889,YPAD
40,evol,2.361821879,2.3872,YPAD
41,evol,2.892649026,2.4074,YPAD
42,evol,2.798796006,2.3958,YPAD
43,evol,3.077516973,2.1216,YPAD
44,evol,2.642307828,2.3309,YPAD
45,evol,2.801752094,2.567,YPAD
46,evol,2.742942217,2.4933,YPAD
47,evol,3.217904951,3.4116,YPAD
48,evol,2.683631313,3.3812,YPAD
49,evol,2.585744626,3.5905,YPAD
50,evol,2.754594075,3.3857,YPAD
51,evol,2.997664482,4.1085,YPAD
52,evol,2.407202321,3.2419,YPAD
53,evol,2.739228813,3.3122,YPAD
54,evol,2.99368758,3.9602,YPAD
55,evol,2.581843415,2.2158,YPAD
56,evol,2.654637623,2.1331,YPAD
57,evol,2.765809835,2.6699,YPAD
58,evol,3.035239627,2.4345,YPAD
59,evol,2.835595559,3.3951,YPAD
60,evol,2.770555445,3.3268,YPAD
61,evol,2.980772586,2.5968,YPAD
62,evol,2.505649,3.7623,YPAD
63,evol,2.740920069,3.0101,YPAD
64,evol,3.204185435,3.3454,YPAD
65,evol,2.503400895,3.3941,YPAD
66,evol,3.154588518,3.3574,YPAD
67,evol,2.890605145,4.1007,YPAD
68,evol,2.988516894,3.3438,YPAD
69,evol,2.659076329,3.9296,YPAD
70,evol,2.795849634,3.3352,YPAD
71,evol,3.040117098,2.2268,YPAD
72,evol,2.742885324,3.3574,YPAD
73,evol,3.074630279,3.2748,YPAD
74,evol,2.941582825,3.8762,YPAD
75,evol,2.786692008,3.4129,YPAD
76,evol,2.571505369,3.9596,YPAD
77,evol,3.088655931,3.9769,YPAD
78,evol,2.97696682,3.4234,YPAD
79,evol,3.097196973,3.361,YPAD
80,evol,2.875565883,3.9043,YPAD
81,evol,2.208512628,3.0248,YPAD
82,evol,2.803551208,2.3223,YPAD
83,evol,2.572571672,3.4906,YPAD
84,evol,2.909296927,2.9242,YPAD
85,evol,2.923875919,3.3018,YPAD
86,evol,2.798694486,4.0355,YPAD
87,evol,2.848681434,3.3099,YPAD
88,evol,2.893012187,3.5952,YPAD
89,evol,3.003795303,2.4001,YPAD
90,evol,2.82114755,3.3163,YPAD
91,evol,2.698241536,2.0345,YPAD
92,evol,2.28632684,N/A,YPAD
93,evol,3.003111537,2.306,YPAD
94,evol,2.163839911,1.8765,YPAD
95,evol,2.779455008,2.1611,YPAD
96,evol,2.74011497,N/A,YPAD
1,evol,N/A,2.3009,flu
2,evol,15.03704957,N/A,flu
3,evol,13.51510812,2.2092,flu
4,evol,6.721738764,3.3209,flu
5,evol,N/A,2.8253,flu
6,evol,19.99022711,N/A,flu
7,evol,11.17558988,3.8171,flu
8,evol,8.647755251,2.4438,flu
9,evol,15.15259518,2.7265,flu
10,evol,9.177080906,2.2666,flu
11,evol,11.65046487,2.0766,flu
12,evol,6.488782115,3.5857,flu
13,evol,9.493676402,3.3647,flu
14,evol,21.76695348,2.0017,flu
15,evol,11.61475859,3.3716,flu
16,evol,9.598057186,3.0527,flu
17,evol,15.08614061,3.3458,flu
18,evol,16.62923176,1.9655,flu
19,evol,12.58657628,3.1386,flu
20,evol,7.659548512,2.2854,flu
21,evol,15.02562143,3.5618,flu
22,evol,5.726538598,2.2312,flu
23,evol,11.11590165,N/A,flu
24,evol,7.714205718,4.0123,flu
25,evol,12.27859422,3.6085,flu
26,evol,8.024777891,2.3394,flu
27,evol,10.95977301,3.4304,flu
28,evol,11.58501277,2.439,flu
29,evol,15.72175465,3.9633,flu
30,evol,10.8034875,3.6555,flu
31,evol,13.61370303,4.1928,flu
32,evol,8.825794573,2.4942,flu
33,evol,16.61816666,3.0714,flu
34,evol,11.29672173,2.4156,flu
35,evol,18.33997439,4.3408,flu
36,evol,15.00964928,3.528,flu
37,evol,18.00786812,2.3663,flu
38,evol,18.74856974,3.712,flu
39,evol,12.79073162,3.3889,flu
40,evol,10.56591484,2.3872,flu
41,evol,19.98717322,2.4074,flu
42,evol,21.22379827,2.3958,flu
43,evol,11.83357057,2.1216,flu
44,evol,13.11913557,2.3309,flu
45,evol,10.89738218,2.567,flu
46,evol,16.79154124,2.4933,flu
47,evol,16.73151057,3.4116,flu
48,evol,13.99653805,3.3812,flu
49,evol,10.00755544,3.5905,flu
50,evol,7.559089024,3.3857,flu
51,evol,7.094432231,4.1085,flu
52,evol,5.905122083,3.2419,flu
53,evol,8.224696055,3.3122,flu
54,evol,9.895002748,3.9602,flu
55,evol,6.746581259,2.2158,flu
56,evol,4.832205043,2.1331,flu
57,evol,10.58429616,2.6699,flu
58,evol,9.811990786,2.4345,flu
59,evol,8.98246147,3.3951,flu
60,evol,8.617081337,3.3268,flu
61,evol,9.453538576,2.5968,flu
62,evol,11.47701114,3.7623,flu
63,evol,9.14554742,3.0101,flu
64,evol,7.461473606,3.3454,flu
65,evol,7.798874625,3.3941,flu
66,evol,9.260194563,3.3574,flu
67,evol,13.57170553,4.1007,flu
68,evol,8.109306326,3.3438,flu
69,evol,12.81604898,3.9296,flu
70,evol,10.38662309,3.3352,flu
71,evol,14.05567861,2.2268,flu
72,evol,9.272148328,3.3574,flu
73,evol,21.94209421,3.2748,flu
74,evol,13.99337774,3.8762,flu
75,evol,12.40425709,3.4129,flu
76,evol,14.00284973,3.9596,flu
77,evol,17.3410673,3.9769,flu
78,evol,15.69641841,3.4234,flu
79,evol,12.50525686,3.361,flu
80,evol,6.348799482,3.9043,flu
81,evol,11.15927783,3.0248,flu
82,evol,10.67381196,2.3223,flu
83,evol,11.49031772,3.4906,flu
84,evol,2.860950853,2.9242,flu
85,evol,13.04593615,3.3018,flu
86,evol,17.62887493,4.0355,flu
87,evol,11.2074765,3.3099,flu
88,evol,13.39688261,3.5952,flu
89,evol,10.85523102,2.4001,flu
90,evol,14.77003592,3.3163,flu
91,evol,13.54369094,2.0345,flu
92,evol,11.89522419,N/A,flu
93,evol,10.7061528,2.306,flu
94,evol,9.846576402,1.8765,flu
95,evol,12.08876672,2.1611,flu
96,evol,9.218826043,N/A,flu
