"","strain","MIC"
"320","s320",1
"321","s321",1
"322","s322",1
"323","s323",1
"324","s324",1
"325","s325",1
"326","s326",1
"327","s327",1
"328","s328",1
"329","s329",1
"330","s330",1
"331","s331",1
"332","s332",1
"333","s333",1
"334","s334",1
"335","s335",1
"336","s336",1
"337","s337",1
"338","s338",1
"339","s339",1
"340","s340",1
"341","s341",1
"342","s342",1
"343","s343",1
"344","s344",1
"345","s345",1
"346","s346",1
"347","s347",1
"348","s348",1
"349","s349",1
"350","s350",1
"351","s351",1
"352","s352",1
"353","s353",1
"354","s354",1
"355","s355",1
"356","s356",1
"357","s357",1
"358","s358",1
"359","s359",1
"360","s360",1
"361","s361",1
"362","s362",1
"363","s363",1
"364","s364",1
"365","s365",1
"366","s366",1
"367","s367",1
"368","s368",1
"369","s369",1
"370","s370",1
"371","s371",1
"372","s372",1
"373","s373",1
"374","s374",1
"375","s375",1
"376","s376",1
"377","s377",1
"378","s378",2
"379","s379",2
"380","s380",2
"381","s381",2
"382","s382",2
"383","s383",2
"384","s384",2
"385","s385",2
"386","s386",2
"387","s387",2
"388","s388",2
"389","s389",2
"390","s390",2
"391","s391",2
"392","s392",2
"393","s393",2
"394","s394",2
"395","s395",2
"396","s396",2
"397","s397",2
"398","s398",2
"399","s399",2
"400","s400",2
"401","s401",2
"402","s402",2
"403","s403",2
"404","s404",2
"405","s405",2
"406","s406",2
"407","s407",2
"408","s408",2
"409","s409",2
"410","s410",2
"411","s411",2
"412","s412",2
"413","s413",2
"414","s414",2
"415","s415",2
"416","s416",2
"417","s417",2
"418","s418",2
"419","s419",2
"420","s420",2
"421","s421",2
"422","s422",4
"423","s423",4
"424","s424",4
"425","s425",4
"426","s426",4
"427","s427",4
"428","s428",4
"429","s429",4
"430","s430",4
"431","s431",4
"432","s432",4
"433","s433",4
"434","s434",4
"435","s435",4
"436","s436",4
"437","s437",4
"438","s438",4
"439","s439",4
"440","s440",4
"441","s441",4
"442","s442",4
"443","s443",4
"444","s444",4
"445","s445",4
"446","s446",4
"447","s447",8
"448","s448",8
"449","s449",8
"450","s450",8
"451","s451",16
"452","s452",16
"453","s453",32
"454","s454",32
"455","s455",32
"456","s456",32
"457","s457",32
"458","s458",32
"459","s459",32
"460","s460",32
"461","s461",32
"462","s462",32
"463","s463",32
"464","s464",32
"465","s465",32
"466","s466",32
"467","s467",32
"468","s468",64
"469","s469",64
"470","s470",64
"471","s471",64
"472","s472",64
"473","s473",64
"474","s474",64
"475","s475",64
"476","s476",64
"477","s477",64
"478","s478",64
"479","s479",64
"480","s480",64
"481","s481",64
"482","s482",64
"483","s483",64
"484","s484",64
"485","s485",128
"486","s486",128
"487","s487",128
"488","s488",128
